Words,Rank,Nature,Broadcast,Flight
roorkee,1.0,0.0,0.0,0.0
air,0.25,0.25,0.25,0.25
iit,1.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0
rank,1.0,0.0,0.0,0.0
mittal,1.0,0.0,0.0,0.0
zone,1.0,0.0,0.0,0.0
topped,1.0,0.0,0.0,0.0
kanishka,1.0,0.0,0.0,0.0
girls,1.0,0.0,0.0,0.0
out,1.0,0.0,0.0,0.0
each,1.0,0.0,0.0,0.0
check,1.0,0.0,0.0,0.0
total,1.0,0.0,0.0,0.0
find,1.0,0.0,0.0,0.0
their,1.0,0.0,0.0,0.0
number,0.4444444444444445,0.0,0.0,0.5555555555555556
toppers,1.0,0.0,0.0,0.0
pune,1.0,0.0,0.0,0.0
asgaonkar,1.0,0.0,0.0,0.0
2020,1.0,0.0,0.0,0.0
jee,1.0,0.0,0.0,0.0
vedang,1.0,0.0,0.0,0.0
advanced,1.0,0.0,0.0,0.0
7,0.4444444444444445,0.5555555555555556,0.0,0.0
seat,0.4444444444444445,0.0,0.0,0.5555555555555556
colleges,1.0,0.0,0.0,0.0
allotment,1.0,0.0,0.0,0.0
based,1.0,0.0,0.0,0.0
strictly,1.0,0.0,0.0,0.0
bds,1.0,0.0,0.0,0.0
candidates,1.0,0.0,0.0,0.0
choice,1.0,0.0,0.0,0.0
mbbs,1.0,0.0,0.0,0.0
done,1.0,0.0,0.0,0.0
programs,1.0,0.0,0.0,0.0
or,0.4444444444444445,0.5555555555555556,0.0,0.0
neet,1.0,0.0,0.0,0.0
comprises,1.0,0.0,0.0,0.0
list,1.0,0.0,0.0,0.0
merit,1.0,0.0,0.0,0.0
exam,1.0,0.0,0.0,0.0
along,1.0,0.0,0.0,0.0
names,1.0,0.0,0.0,0.0
appear,1.0,0.0,0.0,0.0
particles,0.0,1.0,0.0,0.0
harmful,0.0,1.0,0.0,0.0
purifier,0.0,1.0,0.0,0.0
home,0.0,1.0,0.0,0.0
improve,0.0,1.0,0.0,0.0
pollution,0.0,1.0,0.0,0.0
quality,0.0,1.0,0.0,0.0
helpful,0.0,1.0,0.0,0.0
remove,0.0,1.0,0.0,0.0
office,0.0,1.0,0.0,0.0
prone,0.0,1.0,0.0,0.0
indoor,0.0,1.0,0.0,0.0
year,0.0,1.0,0.0,0.0
environmental,0.0,1.0,0.0,0.0
our,0.0,1.0,0.0,0.0
estimated,0.0,1.0,0.0,0.0
risk,0.0,1.0,0.0,0.0
which,0.0,1.0,0.0,0.0
biggest,0.0,1.0,0.0,0.0
people,0.0,1.0,0.0,0.0
health,0.0,1.0,0.0,0.0
million,0.0,1.0,0.0,0.0
time,0.0,1.0,0.0,0.0
kills,0.0,1.0,0.0,0.0
forming,0.0,1.0,0.0,0.0
planetary,0.0,1.0,0.0,0.0
surrounding,0.0,1.0,0.0,0.0
layer,0.0,1.0,0.0,0.0
earth,0.0,1.0,0.0,0.0
planet,0.0,1.0,0.0,0.0
gases,0.0,1.0,0.0,0.0
retained,0.0,1.0,0.0,0.0
atmosphere,0.0,1.0,0.0,0.0
earths,0.0,1.0,0.0,0.0
known,0.0,1.0,0.0,0.0
commonly,0.0,1.0,0.0,0.0
gravity,0.0,1.0,0.0,0.0
necessity,0.0,1.0,0.0,0.0
value,0.0,1.0,0.0,0.0
not,0.0,1.0,0.0,0.0
absolute,0.0,1.0,0.0,0.0
preserve,0.0,1.0,0.0,0.0
state,0.0,1.0,0.0,0.0
pure,0.0,1.0,0.0,0.0
television,0.0,0.0,1.0,0.0
split,0.0,0.0,1.0,0.0
1959,0.0,0.0,1.0,0.0
part,0.0,0.0,1.0,0.0
broadcasting,0.0,0.0,1.0,0.0
1976,0.0,0.0,1.0,0.0
network,0.0,0.0,1.0,0.0
off,0.0,0.0,1.0,0.0
1,0.0,0.0,1.0,0.0
doordarshan,0.0,0.0,1.0,0.0
delhi,0.0,0.0,1.0,0.0
radio,0.0,0.0,1.0,0.0
began,0.0,0.0,0.5,0.5
april,0.0,0.0,1.0,0.0
was,0.0,0.0,1.0,0.0
show,0.0,0.0,1.0,0.0
fresh,0.0,0.0,1.0,0.0
episodes,0.0,0.0,1.0,0.0
morning,0.0,0.0,1.0,0.0
ritu,0.0,0.0,1.0,0.0
sunday,0.0,0.0,1.0,0.0
will,0.0,0.0,1.0,0.0
waiting,0.0,0.0,1.0,0.0
her,0.0,0.0,1.0,0.0
favorite,0.0,0.0,1.0,0.0
indian,0.0,0.0,1.0,0.0
perspective,0.0,0.0,1.0,0.0
welcome,0.0,0.0,1.0,0.0
world,0.0,0.0,1.0,0.0
warm,0.0,0.0,1.0,0.0
news,0.0,0.0,1.0,0.0
shocked,0.0,0.0,1.0,0.0
graphic,0.0,0.0,1.0,0.0
war,0.0,0.0,1.0,0.0
viewers,0.0,0.0,1.0,0.0
channels,0.0,0.0,1.0,0.0
footage,0.0,0.0,1.0,0.0
tv,0.0,0.0,1.0,0.0
selection,0.0,0.0,0.0,1.0
economy,0.0,0.0,0.0,1.0
select,0.0,0.0,0.0,1.0
operated,0.0,0.0,0.0,1.0
india,0.0,0.0,0.0,1.0
preferred,0.0,0.0,0.0,1.0
scheme,0.0,0.0,0.0,1.0
routes,0.0,0.0,0.0,1.0
available,0.0,0.0,0.0,1.0
class,0.0,0.0,0.0,1.0
passengers,0.0,0.0,0.0,1.0
booking,0.0,0.0,0.0,1.0
business,0.0,0.0,0.0,1.0
usa,0.0,0.0,0.0,1.0
increasing,0.0,0.0,0.0,1.0
travel,0.0,0.0,0.0,1.0
are,0.0,0.0,0.0,1.0
tickets,0.0,0.0,0.0,1.0
change,0.0,0.0,0.0,1.0
experience,0.0,0.0,0.0,1.0
flying,0.0,0.0,0.0,1.0
popular,0.0,0.0,0.0,1.0
commonplace,0.0,0.0,0.0,1.0
became,0.0,0.0,0.0,1.0
nature,0.0,0.0,0.0,1.0
more,0.0,0.0,0.0,1.0
belief,0.0,0.0,0.0,1.0
contrary,0.0,0.0,0.0,1.0
cheaper,0.0,0.0,0.0,1.0
late,0.0,0.0,0.0,1.0
often,0.0,0.0,0.0,1.0
airline,0.0,0.0,0.0,1.0
